date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-26,300.0,230158.0,92.0,968187.0,33944.0,1317942.0,3806.6662489926703,16013.194308316315,21797.91851480243
2020-05-27,397.0,230555.0,78.0,968265.0,37299.0,1355241.0,3813.232375309592,16014.484378474299,22414.820140734086
2020-05-28,584.0,231139.0,117.0,968382.0,39838.0,1395079.0,3822.891362133477,16016.419483711277,23073.71520424424
2020-05-29,593.0,231732.0,70.0,968452.0,38233.0,1433312.0,3832.6992032063604,16017.577238981263,23706.064593349707
2020-05-30,516.0,232248.0,87.0,968539.0,36051.0,1469363.0,3841.233513482259,16019.016163388245,24302.325096753608
2020-05-31,416.0,232664.0,111.0,968650.0,28948.0,1498311.0,3848.1138876581767,16020.852032459225,24781.106518975907
2020-06-01,355.0,233019.0,75.0,968725.0,18053.0,1516364.0,3853.9853608131066,16022.092484534209,25079.69160310535
2020-06-02,178.0,233197.0,60.0,968785.0,25628.0,1541992.0,3856.9293670710717,16023.084846194197,25503.562346808303
2020-06-03,318.0,233515.0,55.0,968840.0,20035.0,1562027.0,3862.1888838690093,16023.994511049186,25834.928444439356
2020-06-04,321.0,233836.0,71.0,968911.0,27451.0,1589478.0,3867.498018749946,16025.168805680172,26288.95044324495
2020-06-05,177.0,234013.0,88.0,968999.0,40470.0,1629948.0,3870.425485646911,16026.624269448155,26958.29838290698
2020-06-06,518.0,234531.0,85.0,969084.0,34036.0,1663984.0,3878.992874644809,16028.030115133139,27521.232073896277
2020-06-07,270.0,234801.0,72.0,969156.0,27894.0,1691878.0,3883.458502114756,16029.220949125123,27982.581009624784
2020-06-08,197.0,234998.0,53.0,969209.0,16301.0,1708179.0,3886.7167562317168,16030.097535258114,28252.189133282573
2020-06-09,280.0,235278.0,65.0,969274.0,32200.0,1740379.0,3891.347777311662,16031.1725937231,28784.75655747623
2020-06-10,283.0,235561.0,79.0,969353.0,37865.0,1778244.0,3896.0284164746063,16032.479203242085,29411.019461733773
2020-06-11,202.0,235763.0,71.0,969424.0,32991.0,1811235.0,3899.3693673965663,16033.65349787307,29956.669520478277
2020-06-12,379.0,236142.0,53.0,969477.0,37651.0,1848886.0,3905.6377852154915,16034.53008400606,30579.39300148186
2020-06-13,163.0,236305.0,56.0,969533.0,32880.0,1881766.0,3908.3337010584596,16035.456288222049,31123.207191155383
2020-06-14,346.0,236651.0,78.0,969611.0,29545.0,1911311.0,3914.0563199643916,16036.746358380035,31611.862611894565
2020-06-15,338.0,236989.0,44.0,969655.0,17463.0,1928774.0,3919.646623982325,16037.474090264026,31900.689473034126
2020-06-16,301.0,237290.0,26.0,969681.0,27762.0,1956536.0,3924.624971643266,16037.90411365002,32359.85521311066
2020-06-17,210.0,237500.0,34.0,969715.0,33957.0,1990493.0,3928.098237453224,16038.466451924014,32921.48229458097
2020-06-18,328.0,237828.0,43.0,969758.0,32921.0,2023414.0,3933.5231478611595,16039.177644447005,33465.97459805549
2020-06-19,331.0,238159.0,66.0,969824.0,28570.0,2051984.0,3938.9976763520945,16040.269242272992,33938.50414181986
2020-06-20,-148.0,238011.0,47.0,969871.0,29875.0,2081859.0,3936.5498509241233,16041.046592239984,34432.61755168898
2020-06-21,264.0,238275.0,49.0,969920.0,24581.0,2106440.0,3940.9162422280715,16041.857020928974,34839.17158442514
2020-06-22,224.0,238499.0,24.0,969944.0,16152.0,2122592.0,3944.6210590920273,16042.253965592969,35106.31534329395
2020-06-23,221.0,238720.0,23.0,969967.0,23225.0,2145817.0,3948.276257872984,16042.634370895965,35490.44200251438
2020-06-24,113.0,238833.0,18.0,969985.0,30237.0,2176054.0,3950.145205665962,16042.93207939396,35990.542661065425
2020-06-25,577.0,239410.0,-31.0,969954.0,29421.0,2205475.0,3959.688416962848,16042.419359202966,36477.14720104063
2020-06-26,296.0,239706.0,34.0,969988.0,28331.0,2233806.0,3964.5840678187897,16042.98169747696,36945.72383752605
2020-06-27,255.0,239961.0,30.0,970018.0,29721.0,2263527.0,3968.8016048737395,16043.477878306954,37437.2901858012
2020-06-28,175.0,240136.0,8.0,970026.0,21183.0,2284710.0,3971.695993048705,16043.610193194952,37787.64346986003
2020-06-29,174.0,240310.0,22.0,970048.0,15484.0,2300194.0,3974.5738418626706,16043.974059136948,38043.73893558097
2020-06-30,126.0,240436.0,6.0,970054.0,28471.0,2328665.0,3976.657801348646,16044.073295302947,38514.63108260637
2020-07-01,142.0,240578.0,23.0,970077.0,29325.0,2357990.0,3979.006390610618,16044.453700605942,38999.647843925595
2020-07-02,182.0,240760.0,21.0,970098.0,29147.0,2387137.0,3982.0165543125822,16044.801027186939,39481.72059898685
2020-07-03,201.0,240961.0,30.0,970128.0,25680.0,2412817.0,3985.3409658735427,16045.297208016933,39906.45138946179
2020-07-04,223.0,241184.0,15.0,970143.0,28946.0,2441763.0,3989.0292433764985,16045.545298431929,40385.19973296209
2020-07-05,235.0,241419.0,21.0,970164.0,21166.0,2462929.0,3992.915993211452,16045.892625012926,40735.27184788392
2020-07-06,192.0,241611.0,7.0,970171.0,13771.0,2476700.0,3996.0915505234148,16046.008400539924,40963.035388212214
2020-07-07,208.0,241819.0,8.0,970179.0,22490.0,2499190.0,3999.5317376113735,16046.140715427922,41335.005617097784
2020-07-08,137.0,241956.0,30.0,970209.0,28679.0,2527869.0,4001.7976300683467,16046.636896257916,41809.337951211135
2020-07-09,193.0,242149.0,15.0,970224.0,29947.0,2557816.0,4004.9897267413085,16046.884986672914,42304.642195072236
2020-07-10,214.0,242363.0,12.0,970236.0,27251.0,2585067.0,4008.5291499952664,16047.08345900491,42755.35632167787
2020-07-11,276.0,242639.0,12.0,970248.0,25449.0,2610516.0,4013.094013631212,16047.28193133691,43176.266519761855
2020-07-12,188.0,242827.0,7.0,970255.0,23061.0,2633577.0,4016.203413499175,16047.397706863907,43557.680723778314
2020-07-13,234.0,243061.0,9.0,970264.0,14006.0,2647583.0,4020.073623973129,16047.546561112906,43789.331013941555
2020-07-14,169.0,243230.0,13.0,970277.0,24222.0,2671805.0,4022.8687759820955,16047.761572805903,44189.94741607879
2020-07-15,114.0,243344.0,17.0,970294.0,28392.0,2700197.0,4024.7542631360734,16048.0427419429,44659.53295358519
2020-07-16,162.0,243506.0,13.0,970307.0,28089.0,2728286.0,4027.4336396180415,16048.257753635897,45124.10706470866
2020-07-17,230.0,243736.0,20.0,970327.0,28661.0,2756947.0,4031.237692647996,16048.588540855893,45598.14169032402
2020-07-18,231.0,243967.0,11.0,970338.0,27569.0,2784516.0,4035.0582850389505,16048.770473826891,46054.11533372759
2020-07-19,249.0,244216.0,14.0,970352.0,20621.0,2805137.0,4039.1765859279017,16049.002024880889,46395.17349690453
2020-07-20,218.0,244434.0,3.0,970355.0,14121.0,2819258.0,4042.7821666258587,16049.051642963888,46628.72581358274
2020-07-21,190.0,244624.0,13.0,970368.0,23915.0,2843173.0,4045.9246452158213,16049.266654656885,47024.264631893035
2020-07-22,128.0,244752.0,15.0,970383.0,29288.0,2872461.0,4048.041683423796,16049.514745071883,47508.66943685526
2020-07-23,280.0,245032.0,9.0,970392.0,33018.0,2905479.0,4052.672704503741,16049.66359932088,48054.766058346766
2020-07-24,306.0,245338.0,10.0,970402.0,28970.0,2934449.0,4057.7337489696806,16049.82899293088,48533.91134651106
2020-07-25,252.0,245590.0,5.0,970407.0,28059.0,2962508.0,4061.901667941631,16049.911689735878,48997.98927680453
2020-07-26,274.0,245864.0,5.0,970412.0,25177.0,2987685.0,4066.433452855577,16049.994386540877,49414.40076869657
2020-07-27,254.0,246118.0,5.0,970417.0,19374.0,3007059.0,4070.6344505495267,16050.077083345876,49734.834348706754
2020-07-28,168.0,246286.0,5.0,970422.0,25341.0,3032400.0,4073.413063197494,16050.159780150874,50153.95829580277
2020-07-29,202.0,246488.0,11.0,970433.0,30875.0,3063275.0,4076.754014119454,16050.341713121872,50664.611066671685
2020-07-30,288.0,246776.0,6.0,970439.0,33396.0,3096671.0,4081.5173500873975,16050.440949287871,51216.95956662111
2020-07-31,382.0,247158.0,3.0,970442.0,29686.0,3126357.0,4087.8353859893223,16050.49056737087,51707.94703726126
2020-08-01,379.0,247537.0,9.0,970451.0,31905.0,3158262.0,4094.1038038082474,16050.63942161987,52235.63534995998
2020-08-02,295.0,247832.0,5.0,970456.0,24496.0,3182758.0,4098.98291530319,16050.722118424868,52640.78353701116
2020-08-03,238.0,248070.0,8.0,970464.0,13467.0,3196225.0,4102.919283221142,16050.854433312867,52863.5191115955
2020-08-04,159.0,248229.0,12.0,970476.0,23491.0,3219716.0,4105.549041620111,16051.052905644865,53252.04524084187
2020-08-05,190.0,248419.0,5.0,970481.0,29739.0,3249455.0,4108.691520210074,16051.135602449864,53743.90929761502
2020-08-06,384.0,248803.0,10.0,970491.0,32169.0,3281624.0,4115.042634833998,16051.300996059861,54275.964001617685
2020-08-07,401.0,249204.0,6.0,970497.0,30392.0,3312016.0,4121.674918594919,16051.40023222586,54778.6282611237
2020-08-08,552.0,249756.0,3.0,970500.0,26631.0,3338647.0,4130.8046458668105,16051.44985030886,55219.08798390945
2020-08-09,347.0,250103.0,13.0,970513.0,22773.0,3361420.0,4136.543804133742,16051.664862001857,55595.73885195797
